Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Slanty Crack","Corner Area > Loch Lomond > Idaho Springs > Colorado",https://www.mountainproject.com/route/106051051/slanty-crack,1.0,-1,"Boulder, Alpine",V-easy,1,35,39.8328,-105.6771
"2 Steps","Corner Area > Loch Lomond > Idaho Springs > Colorado",https://www.mountainproject.com/route/106051042/2-steps,1.0,-1,"Boulder, Alpine",V0-,1,35,39.8328,-105.6771
"Highlords Traverse","Hump Area > Loch Lomond > Idaho Springs > Colorado",https://www.mountainproject.com/route/106051072/highlords-traverse,3.0,-1,"Boulder, Alpine",V1,1,,39.8328,-105.6771
"Marmot Traverse","Hump Area > Loch Lomond > Idaho Springs > Colorado",https://www.mountainproject.com/route/106051088/marmot-traverse,2.0,-1,"Boulder, Alpine",V1,1,,39.8328,-105.6771
"Over the Hump","Hump Area > Loch Lomond > Idaho Springs > Colorado",https://www.mountainproject.com/route/106051077/over-the-hump,2.0,-1,"Boulder, Alpine",V1+,1,15,39.8328,-105.6771
"Hump Traverse","Hump Area > Loch Lomond > Idaho Springs > Colorado",https://www.mountainproject.com/route/106051084/hump-traverse,3.0,-1,"Boulder, Alpine",V1+,1,,39.8328,-105.6771
"Camel Hump","Hump Area > Loch Lomond > Idaho Springs > Colorado",https://www.mountainproject.com/route/106051092/camel-hump,2.0,-1,"Boulder, Alpine",V1-2,1,,39.8328,-105.6771
V0,"Reynolds Boulder > Reynolds Lake > Loch Lomond > Idaho Springs > Colorado",https://www.mountainproject.com/route/109448590/v0,2.0,-1,"Boulder, Alpine",V0,1,,39.8368,-105.68286
"Pika Wall","Reynolds Boulder > Reynolds Lake > Loch Lomond > Idaho Springs > Colorado",https://www.mountainproject.com/route/109448597/pika-wall,2.0,-1,"Boulder, Alpine",V1,1,,39.8368,-105.68286
"Wrap it Up","Reynolds Boulder > Reynolds Lake > Loch Lomond > Idaho Springs > Colorado",https://www.mountainproject.com/route/109448605/wrap-it-up,2.5,-1,"Boulder, Alpine",V1,1,,39.8368,-105.68286
Doughy,"Reynolds Boulder > Reynolds Lake > Loch Lomond > Idaho Springs > Colorado",https://www.mountainproject.com/route/109448727/doughy,2.4,-1,"Boulder, Alpine",V3,1,,39.8368,-105.68286
"Rising Waters","Reynolds Boulder > Reynolds Lake > Loch Lomond > Idaho Springs > Colorado",https://www.mountainproject.com/route/109448576/rising-waters,1.0,-1,"Boulder, Alpine","V3 PG13",1,12,39.8368,-105.68286
Mayonegg,"R2 Boulder > Reynolds Lake > Loch Lomond > Idaho Springs > Colorado",https://www.mountainproject.com/route/109468375/mayonegg,1.5,-1,"Boulder, Alpine",V2,1,,39.83693,-105.68219
"Jar Jar Binks","R2 Boulder > Reynolds Lake > Loch Lomond > Idaho Springs > Colorado",https://www.mountainproject.com/route/109466704/jar-jar-binks,1.5,-1,"Boulder, Alpine",V3-,1,,39.83693,-105.68219
"A Little Bit Smaller","R2 Boulder > Reynolds Lake > Loch Lomond > Idaho Springs > Colorado",https://www.mountainproject.com/route/109468368/a-little-bit-smaller,2.0,-1,"Boulder, Alpine",V3,1,,39.83693,-105.68219
