Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Flyboys,"Goat Wall > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/113665378/flyboys,3.2,-1,Sport,5.9,18,1800,48.62285,-120.44865
"Time Wave Zero","Timewave Buttress > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106087605/time-wave-zero,3.7,-1,Sport,5.12a,23,2300,25.94811,-100.47814
Namaste,"Namaste Wall > South Fork of Taylor > Kolob Canyon > Zion National Park > Utah",https://www.mountainproject.com/route/105717892/namaste,3.9,-1,Sport,5.11d,1,140,37.45133,-113.16338
"Playin' Hooky","Creek Side > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/106701638/playin-hooky,3.3,-1,Sport,5.8,4,400,39.74102,-105.41042
"The Nightcrawler","Brownstone Wall > 11-Juniper Canyon > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/105920684/the-nightcrawler,3.8,-1,"Trad, Sport",5.10+,5,550,36.11483,-115.4957
"Amarillo Sunset","North 40 > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106286394/amarillo-sunset,3.9,-1,Sport,5.11b,1,50,37.6523,-83.7082
"Ultrasaurus (aka Uber-Pwnage)","Dinosaur Rock > Central > Flatirons > Boulder > Colorado",https://www.mountainproject.com/route/106566444/ultrasaurus-aka-uber-pwnage,3.9,-1,Sport,5.13a,1,115,39.9734,-105.2875
"Witness the Citrus","Fruit Wall > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/110356279/witness-the-citrus,4.0,-1,Sport,5.11c,1,95,37.64504,-83.67849
Twinkie,"Phantasia > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106132213/twinkie,3.9,-1,Sport,5.12a,1,80,37.84495,-83.64369
"$00pr kr33m","The Slab > South > Flatirons > Boulder > Colorado",https://www.mountainproject.com/route/107177226/00pr-kr33m,3.9,-1,Sport,5.13a,1,115,39.9629,-105.287
"Psycho Wrangler","Cotton Top > Cotton Hill > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106759853/psycho-wrangler,3.9,-1,Sport,5.12a,1,60,38.07788,-81.06338
"Chain Reaction","(k) The Dihedrals > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105789917/chain-reaction,3.8,-1,Sport,5.12c,1,40,44.3665,-121.14564
Legacy,"J) Snake Buttress > Endless Wall > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106282216/legacy,3.9,-1,Sport,5.11a,1,90,38.05474,-81.05704
"Milk Bone","Dinosaur Rock > Central > Flatirons > Boulder > Colorado",https://www.mountainproject.com/route/106207680/milk-bone,3.9,-1,Sport,5.13a,1,100,39.9734,-105.2875
Banshee,"The Solarium > Muir Valley > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106333612/banshee,3.9,-1,Sport,5.11c,1,100,37.73372,-83.63884
"Flying Hawaiian","Waimea > *Rumney > New Hampshire",https://www.mountainproject.com/route/105910536/flying-hawaiian,3.8,-1,Sport,5.11b,1,,43.80386,-71.84091
"Cell Block Six","Midnight Surf > Muir Valley > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106586323/cell-block-six,3.9,-1,Sport,5.12c,1,80,37.732,-83.64195
"Mercy the Huff","Left Flank > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106045269/mercy-the-huff,3.9,-1,Sport,5.12b,1,80,37.81449,-83.66388
"Giant Man","The Hinterlands > *Rumney > New Hampshire",https://www.mountainproject.com/route/106011340/giant-man,3.9,-1,Sport,5.12b/c,1,90,43.80547,-71.84373
"Sonic Youth","The New River Wall > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105749158/sonic-youth,3.8,-1,Sport,5.13a,1,,39.73704,-105.31624
Tachycardia,"Heart Rock > Heart Rock Area > Maple Canyon Road > Maple Canyon > Utah",https://www.mountainproject.com/route/107669530/tachycardia,3.7,-1,Sport,5.7,3,300,39.5561,-111.6708
"Apollo Reed","The Coliseum > Summersville Lake (main) > Summersville Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105989372/apollo-reed,3.9,-1,Sport,5.13a,1,90,38.24146,-80.84583
"Tufa Yard Dash","Tufa City > The Homestead > Central Arizona > Arizona",https://www.mountainproject.com/route/106579242/tufa-yard-dash,3.9,-1,Sport,5.11c,1,70,33.17567,-110.78048
Pump-O-Rama,"The Arsenal > Rifle Mountain Park > Rifle > Colorado",https://www.mountainproject.com/route/105753574/pump-o-rama,3.9,-1,Sport,5.13a,1,,39.70756,-107.69464
"Toxic Hueco","2 Toxic Hueco Area > Lower Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106494909/toxic-hueco,3.9,-1,Sport,5.11d,1,80,38.15323,-80.93233
"Cocaine Rodeo","Drugs and Sex > Valhalla > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/106818981/cocaine-rodeo,3.9,-1,Sport,5.12a,1,105,44.13667,-107.25772
Thunderstruck,"White Wall > Kaymoor > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106820631/thunderstruck,3.9,-1,Sport,5.12b,1,70,38.04953,-81.0704
O.D.K.,"Old Aid Wall aka Upper Echelon Wall > Triple Tier Area > Poudre Canyon > Fort Collins > Colorado",https://www.mountainproject.com/route/106737064/odk,3.9,-1,Sport,5.12a,1,85,40.6924,-105.3755
Solstice,"Solstice Cave > South Clear Creek > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106564957/solstice,3.9,-1,Sport,5.12a,1,70,36.0947,-84.7083
Archangel,"Lost Angel > Upper Dream Canyon > Boulder > Colorado",https://www.mountainproject.com/route/108240564/archangel,3.9,-1,Sport,5.12c,2,100,40.0089,-105.41
Technosurfing,"Waimea > *Rumney > New Hampshire",https://www.mountainproject.com/route/105867836/technosurfing,3.8,-1,Sport,5.12b,1,60,43.80386,-71.84091
"Heinous Cling Start","(k) The Dihedrals > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/109930142/heinous-cling-start,3.8,-1,Sport,5.12a,1,,44.3665,-121.14564
"Monkey Off My Back","(s) Monkey Face > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/106811013/monkey-off-my-back,3.7,-1,Sport,5.8+,1,,44.37053,-121.14363
"Under the Milky Way","The Long Wall > Summersville Lake (main) > Summersville Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105918478/under-the-milky-way,3.9,-1,Sport,5.11d,1,70,38.24137,-80.84379
"Los Hermanos de la Weenie Way","Penitente - Inner Canyon > Penitente Canyon > San Luis Valley > Colorado",https://www.mountainproject.com/route/105753916/los-hermanos-de-la-weenie-way,3.9,-1,Sport,5.11c,1,,37.84519,-106.28863
Freeform,"Free Form Wall > Sand Gulch > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105752917/freeform,3.9,-1,Sport,5.12a,1,,38.6218,-105.23101
"Ginseng Route","Shagg Crag > Maine",https://www.mountainproject.com/route/106075920/ginseng-route,3.9,-1,Sport,5.12b,1,,44.4237,-70.5309
Anarchitect,"Anarchy Wall > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105750721/anarchitect,3.9,-1,Sport,5.12d,1,,39.7407,-105.32832
Aesthetica,"M) Fantasy Area > Endless Wall > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106259865/aesthetica,3.9,-1,Sport,5.11c,1,80,38.05596,-81.05393
"Crack Attack","Rad Wall > El Rito Sport Area > El Rito > New Mexico",https://www.mountainproject.com/route/105819879/crack-attack,3.9,-1,Sport,5.12a,1,65,36.39259,-106.19534
Squawstruck,"Squaw Peak > Rock Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/106897735/squawstruck,3.4,-1,Sport,5.11b,22,1900,40.27201,-111.61624
Munsterlander,"Hound Dog Crag > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/107216187/munsterlander,3.9,-1,Sport,5.11c,1,85,44.10033,-107.28463
"El Sendero Diablo (The Devil's Path)","The Outrage Wall > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106175808/el-sendero-diablo-the-devils-path,3.8,-1,Sport,5.11c,6,600,25.94802,-100.47771
Disturbance,"4) Genocide Cave > Beauty Mountain > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106420023/disturbance,3.9,-1,Sport,5.11d,1,70,38.05372,-81.03333
